% Model,comsolvalidasi.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.201,,,,,,,,,,,,,,,
% Date,"May 6 2020, 09:08",,,,,,,,,,,,,,,
% Dimension,3,,,,,,,,,,,,,,,
% Nodes,5517,,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,,
% Description,"Temperature, Pressure, Thermal conductivity, xx component, Heat capacity at constant pressure, Dynamic viscosity, Density, Mass flow",,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,
% X,Y,Z,T (degC) @ t=0,p (psi) @ t=0,ht.kxx (W/(m*K)) @ t=0,ht.Cp (J/(kg*K)) @ t=0,dl.mu (kg/(m*s)) @ t=0,dl.rho (kg/m^3) @ t=0,dl.pr1.Mflow (kg/s) @ t=0,T (degC) @ t=77,p (psi) @ t=77,ht.kxx (W/(m*K)) @ t=77,ht.Cp (J/(kg*K)) @ t=77,dl.mu (kg/(m*s)) @ t=77,dl.rho (kg/m^3) @ t=77,dl.pr1.Mflow (kg/s) @ t=77
1000,3.98E-15,32.5,38.889,1627.992958,0.04911356,2.337272091,1.72E-05,123.8298701,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.7480205,6.122768247,31.91804676,38.889,1627.996635,0.049113528,2.337272973,1.72E-05,123.8301883,-13689.88059,38.889,2683.213,0.040014972,2.590581979,2.38E-05,215.1235318,-0.189058827
1000,3.938254698,25.84585044,38.889,1627.992945,0.04911356,2.337272087,1.72E-05,123.829869,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,8.712856367,31.31028636,38.889,1627.992943,0.04911356,2.337272087,1.72E-05,123.8298688,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,9.960279356,22.90233627,38.889,1627.992953,0.04911356,2.337272089,1.72E-05,123.8298697,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
990.322216,3.98E-15,32.5,38.889,1627.997829,0.049113518,2.33727326,1.72E-05,123.8302916,-13689.88059,38.889,2683.216689,0.04001494,2.590582865,2.38E-05,215.1238509,-0.189058827
1000,-2.036226477,24.39398935,38.889,1627.992972,0.04911356,2.337272094,1.72E-05,123.8298713,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
993.0786008,12.55929932,29.97522311,38.889,1627.996909,0.049113526,2.337273039,1.72E-05,123.830212,-13689.88059,38.889,2683.213721,0.040014966,2.590582152,2.38E-05,215.1235942,-0.189058827
985.021349,22.97288104,-22.98905689,38.889,1627.998918,0.049113509,2.337273521,1.72E-05,123.8303858,-13689.88059,38.889,2683.222396,0.040014891,2.590584235,2.38E-05,215.1243447,-0.189058827
994.5818369,17.44075054,-18.6221682,38.889,1627.996282,0.049113531,2.337272889,1.72E-05,123.8301578,-13689.88059,38.889,2683.212103,0.04001498,2.590581764,2.38E-05,215.1234541,-0.189058827
1000,14.34713111,-19.37606051,38.889,1627.992955,0.04911356,2.33727209,1.72E-05,123.8298699,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
990.322216,0,-32.5,38.889,1627.997818,0.049113518,2.337273257,1.72E-05,123.8302906,-13689.88059,38.889,2683.216689,0.04001494,2.590582865,2.38E-05,215.1238509,-0.189058827
1000,25.03294743,4.219380501,38.889,1627.992948,0.04911356,2.337272088,1.72E-05,123.8298693,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
990.322216,32.5,5.86E-14,38.889,1627.997834,0.049113518,2.337273261,1.72E-05,123.830292,-13689.88059,38.889,2683.216689,0.04001494,2.590582865,2.38E-05,215.1238509,-0.189058827
985.2079312,31.39814633,-8.390852598,38.889,1627.998896,0.049113509,2.337273516,1.72E-05,123.8303838,-13689.88059,38.889,2683.222195,0.040014893,2.590584186,2.38E-05,215.1243273,-0.189058827
991.3042467,23.75232112,-0.350110418,38.889,1627.997534,0.04911352,2.337273189,1.72E-05,123.830266,-13689.88059,38.889,2683.215632,0.040014949,2.590582611,2.38E-05,215.1237594,-0.189058827
991.129665,24.22760283,-7.710439955,38.889,1627.997586,0.04911352,2.337273202,1.72E-05,123.8302706,-13689.88059,38.889,2683.21582,0.040014948,2.590582656,2.38E-05,215.1237757,-0.189058827
987.2801264,28.10143316,-16.3266486,38.889,1627.998549,0.049113512,2.337273433,1.72E-05,123.8303538,-13689.88059,38.889,2683.219964,0.040014912,2.590583651,2.38E-05,215.1241343,-0.189058827
1000,18.039475,-0.412734693,38.889,1627.992944,0.04911356,2.337272087,1.72E-05,123.8298689,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-15.25782171,18.81167559,38.889,1627.992973,0.04911356,2.337272094,1.72E-05,123.8298714,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-15.20220033,10.34587025,38.889,1627.992974,0.04911356,2.337272095,1.72E-05,123.8298715,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
988.9578916,-22.44610824,-17.87089453,38.889,1627.998192,0.049113515,2.337273347,1.72E-05,123.830323,-13689.88059,38.889,2683.218158,0.040014928,2.590583217,2.38E-05,215.123978,-0.189058827
986.8322142,-16.10760063,-21.23245654,38.889,1627.99863,0.049113511,2.337273452,1.72E-05,123.8303608,-13689.88059,38.889,2683.220447,0.040014908,2.590583767,2.38E-05,215.124176,-0.189058827
985.0265374,-22.98457021,-22.97737,38.889,1627.998923,0.049113509,2.337273523,1.72E-05,123.8303862,-13689.88059,38.889,2683.222391,0.040014891,2.590584233,2.38E-05,215.1243442,-0.189058827
990.278036,-24.97381869,3.703496891,38.889,1627.997837,0.049113518,2.337273262,1.72E-05,123.8302923,-13689.88059,38.889,2683.216737,0.04001494,2.590582876,2.38E-05,215.123855,-0.189058827
1000,-19.76011804,2.649115993,38.889,1627.99297,0.04911356,2.337272094,1.72E-05,123.8298712,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
985.4562923,-31.4446174,8.214988547,38.889,1627.998862,0.049113509,2.337273508,1.72E-05,123.8303809,-13689.88059,38.889,2683.221928,0.040014895,2.590584122,2.38E-05,215.1243042,-0.189058827
991.3614695,-21.34928717,13.93384613,38.889,1627.997528,0.049113521,2.337273188,1.72E-05,123.8302655,-13689.88059,38.889,2683.21557,0.04001495,2.590582596,2.38E-05,215.1237541,-0.189058827
985.1827791,-27.44126457,17.41341434,38.889,1627.998902,0.049113509,2.337273518,1.72E-05,123.8303844,-13689.88059,38.889,2683.222222,0.040014893,2.590584193,2.38E-05,215.1243297,-0.189058827
